co,no2,nox,pm10,pm25,relativehumidity,temperature
2.24,113.9,0.0677,221.0,85.0,74.0,14.2
1.03,56.6,0.0324,166.0,36.0,57.0,13.0
1.67,141.4,0.0970999999999999,218.0,136.0,92.0,12.0
3.0,157.7,0.132,208.0,116.0,84.0,12.3
2.4,96.8,0.0582,254.0,113.0,88.0,11.5
1.52,139.9,0.0845,287.0,161.0,78.0,13.1
2.56,120.3,0.0698,237.0,86.0,62.0,15.1
4.19,74.3,0.0494,318.0,193.0,87.0,12.9
1.98,112.2,0.0654,224.0,84.0,70.0,14.0
2.37,92.5,0.0569,156.0,57.0,87.0,11.6
1.73,107.2,0.0658,161.0,47.0,92.0,10.4
1.96,107.3,0.0645999999999999,224.0,84.0,66.0,14.2
3.35,46.4,0.0268,110.0,28.0,90.0,12.9
1.87,108.9,0.0667,153.0,58.0,94.0,10.8
3.16,60.9,0.0352,283.0,186.0,93.0,12.2
3.95,23.5,0.1774,277.0,173.0,93.0,8.7
1.83,120.3,0.1462,278.0,138.0,94.0,8.1
2.21,97.4,0.0603999999999999,151.0,64.0,90.0,11.0
2.22,137.6,0.0807,151.0,84.0,83.0,12.6
2.9,114.9,0.1095,252.0,140.0,91.0,10.5
1.9,112.8,0.0742999999999999,168.0,64.0,91.0,10.2
1.1,49.8,0.0283999999999999,156.0,38.5,45.0,15.5
1.82,130.3,0.0783,237.0,103.0,93.0,11.9
1.58,118.8,0.0735,215.0,101.0,94.0,11.6
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.84,96.8,0.0608,139.0,57.0,93.0,10.4
1.58,138.7,0.0838,196.0,113.0,92.0,11.4
2.86,134.6,0.086,263.0,110.0,86.0,11.1
2.23,170.5,0.0984,260.0,117.0,64.0,12.4
2.67,135.7,0.0777,224.0,95.0,73.0,13.0
2.19,110.0,0.0649,193.0,90.0,92.0,11.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.57,119.0,0.0734,215.0,101.0,94.0,11.6
1.55,119.0,0.0891,179.0,79.0,95.0,8.3
2.28,135.9,0.1028,221.0,97.0,91.0,11.6
2.125,132.9,0.1043,156.0,85.0,92.0,11.4
1.04,107.7,0.071,448.0,244.0,86.0,12.4
1.51,106.6,0.0775,219.0,118.0,95.0,11.2
3.17,30.5,0.0186999999999999,110.0,28.0,90.0,12.9
1.97,199.1,0.115,212.0,96.0,49.0,13.7
1.9,202.7,0.1159,349.0,194.0,63.0,12.7
1.12,50.0,0.0283,164.0,39.0,45.0,15.6
3.24,72.6,0.0466,223.0,127.0,91.0,12.4
2.9,122.6,0.1243,224.0,122.0,89.0,11.3
3.73,82.5,0.0487999999999999,353.0,205.0,77.0,14.4
3.81,80.5,0.0495,237.0,125.0,80.0,14.3
1.85,138.7,0.1593,278.0,138.0,94.0,8.2
3.48,72.4,0.043,191.0,68.0,83.0,12.4
4.31,89.1,0.0531,364.0,201.0,88.0,13.3
1.91,136.1,0.1629,316.0,161.0,94.0,8.4
2.24,136.1,0.0802,179.0,105.0,80.0,13.6
1.96,146.6,0.1225,184.0,96.0,94.0,9.4
2.35,102.1,0.0688,152.0,19.0,77.0,10.0
2.42,82.2,0.0515,140.0,47.0,87.0,11.4
2.31,115.8,0.1858,202.0,110.0,92.0,11.5
3.18,48.1,0.0289,285.0,163.0,94.0,12.2
1.57,109.4,0.0689,152.0,86.0,94.0,11.1
2.2,94.4,0.0596,184.0,78.0,91.0,11.3
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.8,119.0,0.1396,279.0,140.0,94.0,8.1
1.06,121.4,0.0718,155.0,63.0,50.0,12.8
2.4,140.2,0.0832,188.0,67.0,88.0,11.9
1.94,99.8,0.0515,244.0,144.0,58.0,14.2
4.11,81.6,0.0467,339.0,229.0,88.0,13.3
4.02,77.6,0.0462999999999999,288.0,143.0,89.0,13.2
2.13,124.3,0.0729,233.0,96.0,75.0,13.8
2.46,82.3,0.0519,122.0,69.0,87.0,11.4
3.81,0.55,0.0040999999999999,146.0,34.0,94.0,12.4
3.45,63.7,0.053,189.0,80.0,92.0,12.3
2.28,93.2,0.0562,166.0,61.0,91.0,11.3
2.29,111.1,0.0665999999999999,183.0,86.0,88.0,11.5
2.14,103.8,0.0628,161.0,77.0,69.0,14.7
2.16,98.9,0.0593,130.0,61.0,91.0,11.2
1.0,50.0,0.0285,211.0,97.0,43.0,15.6
2.24,110.5,0.0647,153.0,75.0,68.0,14.3
2.19,126.7,0.1163,315.0,177.0,93.0,11.1
3.33,138.0,0.1606999999999999,263.0,153.0,90.0,8.3
2.46,126.5,0.0739,261.0,89.0,69.0,14.3
2.59,115.4,0.0699,195.0,74.0,76.0,13.3
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.66,65.6,0.0386,288.0,143.0,89.0,13.1
2.22,120.9,0.0762999999999999,166.0,72.0,90.0,11.6
3.53,62.4,0.0356,317.0,175.0,89.0,13.1
2.35,137.4,0.0969,200.0,86.0,89.0,12.3
3.21,65.6,0.0387,283.0,186.0,92.0,12.2
0.59,57.5,0.0332,257.0,81.0,46.0,15.4
2.16,99.5,0.0615,204.0,75.0,91.0,11.2
2.21,185.7,0.1054,301.0,152.0,66.0,11.9
1.77,107.0,0.1120999999999999,266.0,135.0,94.0,7.4
1.73,107.2,0.0655,143.0,52.0,92.0,10.4
2.6,43.2,0.1301,306.0,164.0,93.0,10.7
3.86,88.7,0.06,174.0,96.0,85.0,13.2
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.45,91.2,0.0523,244.0,70.0,58.0,14.2
4.24,6.2,0.1948,277.0,173.0,93.0,8.7
2.59,124.1,0.0722,223.0,81.0,62.0,15.2
2.32,141.6,0.0833,151.0,84.0,85.0,12.4
4.47,24.1,0.2147,277.0,173.0,93.0,8.7
2.21,103.6,0.061,130.0,61.0,91.0,11.1
0.78,54.9,0.0306999999999999,211.0,97.0,45.0,15.6
1.63,131.4,0.0978,196.0,90.0,95.0,8.5
2.375,113.6,0.1883,246.0,130.0,92.0,11.5
1.87,139.7,0.1215,184.0,96.0,94.0,9.0
2.47,104.5,0.0644,191.0,69.0,84.0,12.2
3.29,50.6,0.0295,285.0,163.0,94.0,12.2
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.02,160.9,0.0950999999999999,260.0,118.0,76.0,10.0
0.42,77.6,0.0433,371.0,169.0,58.0,14.6
1.05,128.2,0.0746,208.0,52.0,45.0,13.8
1.53,119.9,0.0737,204.0,105.0,94.0,11.6
2.16,100.4,0.0608,145.0,35.0,87.0,11.9
2.26,94.9,0.0573,166.0,61.0,91.0,11.3
2.03,55.6,0.0996,393.0,244.0,92.0,9.9
2.3,146.3,0.0862,160.0,85.0,76.0,13.5
2.12,134.4,0.1447,208.0,95.0,92.0,11.6
2.5,100.4,0.0622999999999999,212.0,85.0,91.0,11.3
2.35,125.0,0.0752999999999999,232.0,97.0,82.0,12.8
2.58,120.7,0.07,130.0,52.0,62.0,15.1
1.67,140.6,0.0889,251.0,135.0,91.0,12.3
