co,no2,nox,pm10,pm25,relativehumidity,temperature
2.43,127.1,0.0752,219.0,97.0,73.0,13.8
2.08,204.4,0.1384,349.0,188.0,87.0,10.9
1.88,114.9,0.1495999999999999,279.0,140.0,94.0,8.0
1.03,99.8,0.0515,244.0,91.0,58.0,14.2
3.66,33.1,0.0206,55.0,32.4,93.0,11.7
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.85,78.0,0.0683,199.0,106.0,89.0,12.8
2.52,110.4,0.0676,153.0,79.0,82.0,12.6
2.255,105.5,0.0642,188.0,84.0,87.0,11.9
2.38,138.6,0.0973,200.0,86.0,88.0,12.6
1.01,35.7,0.0917999999999999,305.0,193.0,94.0,9.1
2.24,128.6,0.1648,245.0,106.0,93.0,11.5
3.5,64.5,0.0365,317.0,175.0,90.0,13.0
2.24,106.0,0.0636,123.0,72.0,72.0,14.2
3.21,67.7,0.0391,134.0,48.0,78.0,12.9
2.08,123.3,0.0734,233.0,96.0,75.0,13.7
2.44,131.2,0.0754,195.0,95.0,78.0,13.0
2.13,107.2,0.0664,147.0,61.0,88.0,11.9
3.78,71.1,0.0412,171.0,79.0,83.0,12.9
3.73,118.3,0.168,480.0,259.0,90.0,10.0
3.74,148.1,0.2134,263.0,153.0,90.0,8.2
3.75,70.6,0.1685,337.0,168.0,92.0,8.9
3.35,69.4,0.0407999999999999,152.0,62.0,82.0,12.4
2.26,100.8,0.063,151.0,64.0,90.0,11.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.41,56.8,0.0573,143.0,73.0,92.0,12.2
3.72,77.5,0.0479,334.0,239.0,83.0,13.8
2.21,184.6,0.1057999999999999,378.0,151.0,60.0,12.9
2.23,113.2,0.0679,221.0,85.0,70.0,14.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.06,235.0,0.1319,466.0,233.0,62.0,13.1
1.5,126.9,0.0787,239.0,105.0,94.0,11.5
2.14,154.0,0.0982,260.0,119.0,82.0,10.4
3.53,66.0,0.0573,189.0,80.0,92.0,12.3
2.35,110.5,0.1026,199.0,121.0,90.0,10.4
3.98,81.6,0.047,123.0,62.0,83.0,12.6
3.3,67.9,0.0498,223.0,127.0,92.0,12.4
3.16,55.1,0.0325,326.0,168.0,94.0,12.2
2.08,231.2,0.1306,401.0,249.0,62.0,12.9
2.37,175.0,0.1122,287.0,117.0,85.0,8.8
1.84,191.9,0.1123,313.0,156.0,82.0,9.9
1.57,138.9,0.0862,243.0,128.0,90.0,11.4
3.3,54.1,0.0315,56.0,82.4,90.0,12.9
1.92,113.6,0.122,180.0,110.0,94.0,7.9
3.09,132.4,0.128,208.0,116.0,87.0,11.7
2.24,140.8,0.0824,171.0,74.0,75.0,13.6
3.19,186.7,0.2271999999999999,323.0,222.0,89.0,9.1
3.21,68.1,0.0392,152.0,62.0,79.0,12.7
2.03,112.0,0.068,169.0,68.0,94.0,10.9
2.51,183.1,0.1681,290.0,157.0,87.0,9.3
3.86,90.8,0.059,174.0,96.0,84.0,13.3
4.03,99.6,0.0594,317.0,243.0,79.0,14.0
3.48,2.4,0.0043,117.0,24.0,86.0,13.5
1.94,105.1,0.1161,194.0,100.0,93.0,7.9
2.22,106.6,0.0634,130.0,61.0,91.0,11.1
2.35,203.6,0.1596999999999999,310.0,196.0,91.0,10.3
1.57,142.9,0.0842,183.0,97.0,86.0,11.9
1.73,169.8,0.1004,248.0,161.0,78.0,13.8
3.56,79.0,0.0523999999999999,321.0,190.0,86.0,13.4
2.29,110.7,0.0670999999999999,188.0,84.0,86.0,12.0
2.42,135.9,0.0772,259.0,117.0,66.0,14.4
1.73,101.9,0.0632,143.0,52.0,93.0,10.4
2.12,119.4,0.1769,278.0,139.0,95.0,8.2
2.59,115.6,0.0704,153.0,79.0,78.0,13.0
3.82,143.6,0.2315,357.0,224.0,91.0,8.2
2.52,123.0,0.0714,223.0,81.0,63.0,14.9
1.71,146.1,0.0983,218.0,136.0,92.0,12.0
2.19,133.7,0.1051,183.0,85.0,92.0,11.4
1.74,112.8,0.0691,161.0,47.0,92.0,10.4
1.96,114.7,0.1249,180.0,110.0,94.0,8.0
1.51,101.5,0.0731,210.0,110.0,95.0,11.0
2.66,137.4,0.0795999999999999,150.0,51.0,82.0,12.2
3.3200000000000003,74.1,0.0429,224.0,108.0,90.0,12.6
3.48,71.4,0.0467999999999999,295.0,169.0,90.0,12.7
3.06,87.0,0.084,224.0,34.0,80.0,9.9
1.87,184.1,0.1049,212.0,96.0,49.0,13.6
4.02,79.3,0.0469,255.0,128.0,89.0,13.2
2.36,138.0,0.0964,200.0,86.0,90.0,12.0
1.66,99.8,0.0515,244.0,171.0,58.0,14.2
2.18,129.7,0.0768,211.0,110.0,77.0,14.0
3.77,143.4,0.2254,357.0,224.0,92.0,8.2
2.52,114.1,0.0697,195.0,74.0,74.0,13.5
1.9,138.9,0.1195,184.0,96.0,94.0,9.2
2.52,168.8,0.1259,287.0,117.0,86.0,8.7
2.04,134.0,0.0917,217.0,102.0,87.0,9.6
2.42,130.7,0.0764,232.0,97.0,80.0,13.0
3.84,73.1,0.1782,480.0,259.0,90.0,10.0
2.28,304.2,0.1721,453.0,262.0,68.0,12.9
1.67,143.3,0.0912,218.0,136.0,91.0,12.2
2.56,136.1,0.0780999999999999,150.0,51.0,78.0,12.8
2.19,246.5,0.1382,453.0,251.0,63.0,13.0
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.48,116.7,0.0689,237.0,86.0,64.0,14.7
3.65,117.7,0.1176,206.0,140.0,92.0,11.8
3.32,53.4,0.0308,56.0,55.20000000000002,90.0,12.9
2.13,99.8,0.0515,244.0,144.0,58.0,14.2
1.49,129.7,0.0779,196.0,113.0,92.0,11.4
0.26,71.6,0.0405,271.0,101.0,53.0,14.8
2.98,4.5,0.004,152.0,38.0,76.0,14.3
1.9,118.3,0.0751,237.0,103.0,93.0,11.6
3.58,31.8,0.0191,55.0,39.8,92.0,11.9
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.16,83.3,0.0465,244.0,64.0,58.0,14.4
3.05,180.3,0.22,401.0,249.0,90.0,9.1
1.8,130.1,0.1222999999999999,212.0,91.0,95.0,8.8
3.19,63.2,0.0368999999999999,283.0,186.0,93.0,12.2
2.7,135.4,0.0784,150.0,51.0,83.0,12.1
1.73,105.8,0.0649,143.0,52.0,92.0,10.4
1.05,58.3,0.0334,166.0,83.0,66.0,11.7
4.17,102.6,0.0608,317.0,243.0,79.0,14.1
3.4,61.9,0.051,143.0,73.0,92.0,12.3
1.98,118.6,0.076,234.0,134.0,93.0,11.7
2.91,137.6,0.0861,263.0,110.0,87.0,10.9
1.01,39.1,0.094,305.0,193.0,94.0,9.1
1.61,123.9,0.0765999999999999,215.0,101.0,93.0,11.6
2.31,121.4,0.0734,232.0,97.0,83.0,12.5
2.1,99.8,0.0515,244.0,144.0,58.0,14.2
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.39,99.8,0.0515,244.0,171.0,58.0,14.2
1.83,135.2,0.1263,212.0,91.0,95.0,8.8
2.08,132.2,0.1361,208.0,95.0,92.0,11.5
2.27,99.6,0.0617,151.0,64.0,90.0,10.9
3.39,70.3,0.0425,227.0,113.0,92.0,12.5
2.28,302.1,0.1648,345.0,216.0,62.0,13.2
2.215,125.6,0.0770999999999999,166.0,72.0,90.0,11.7
1.16,25.8,0.106,274.0,153.0,94.0,9.2
2.34,138.4,0.082,204.0,95.0,81.0,13.1
3.85,71.4,0.0677,224.0,108.0,90.0,12.5
3.65,0.7250000000000001,0.0039,146.0,34.0,94.0,12.3
2.375,92.9,0.0559,166.0,61.0,91.0,11.3
3.48,73.5,0.0492,321.0,190.0,88.0,13.2
2.38,99.8,0.0599,156.0,57.0,86.0,11.6
2.16,129.9,0.1439,245.0,172.0,92.0,8.2
1.15,73.7,0.0411,207.0,107.0,46.0,16.5
2.2,91.6,0.0515,244.0,79.0,58.0,14.2
2.29,104.5,0.0622999999999999,183.0,86.0,89.0,11.5
1.5,120.3,0.0732,204.0,105.0,94.0,11.6
0.71,61.5,0.057775,288.0,179.0,93.0,9.9
3.06,49.1,0.1442,361.0,213.0,94.0,8.5
2.1,104.7,0.0617,168.0,74.0,65.0,14.4
2.36,288.6,0.1604,345.0,216.0,57.0,13.5
3.27,21.2,0.0172,105.0,25.0,93.0,11.3
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.48,62.8,0.036,317.0,175.0,89.0,13.1
2.21,232.0,0.1598,379.0,197.0,85.0,11.3
2.21,115.1,0.0681,238.0,110.0,70.0,14.3
3.72,84.2,0.1104,224.0,34.0,82.0,9.8
1.53,126.1,0.0769,239.0,105.0,94.0,11.4
3.68,54.3,0.0475,169.0,79.0,90.0,11.0
3.42,51.7,0.0294,110.0,28.0,90.0,12.9
3.96,76.3,0.1665,433.0,273.0,89.0,10.0
2.77,120.7,0.1,199.0,121.0,89.0,10.3
1.53,112.6,0.0843,219.0,118.0,95.0,11.3
2.816,45.56666666666667,0.0254333333333333,268.0,111.0,80.0,13.7
2.31,136.3,0.0975,200.0,86.0,91.0,11.8
2.95,125.8,0.1268,224.0,122.0,88.0,11.4
1.58,135.5,0.0823,239.0,127.0,89.0,11.6
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.4,138.9,0.0807,301.0,118.0,66.0,14.3
3.14,4.5,0.0044,66.0,35.0,70.0,14.8
2.82,29.5,0.1377,335.0,197.0,94.0,8.6
2.27,107.5,0.065,183.0,83.0,91.0,11.3
1.82,199.7,0.1152,288.0,138.0,81.0,10.1
1.82,220.0,0.1269,288.0,138.0,75.0,10.7
3.14,55.3,0.032,80.0,20.0,74.0,13.6
3.15,4.5,0.0044,152.0,38.0,72.0,14.6
1.63,149.5,0.0888,267.0,166.0,77.0,13.7
1.98,108.7,0.1477,278.0,139.0,95.0,7.8
4.14,81.0,0.047,339.0,229.0,88.0,13.3
1.83,107.3,0.0650999999999999,177.0,58.0,93.0,10.5
2.13,132.2,0.1800999999999999,316.0,161.0,93.0,8.1
3.63,1.3,0.0046,75.0,20.0,90.0,13.2
2.15,161.9,0.1006,260.0,119.0,80.0,10.8
2.52,113.9,0.0695,195.0,74.0,73.0,13.5
2.32,130.3,0.1084,221.0,97.0,92.0,11.3
4.23,94.9,0.054,293.0,147.0,83.0,13.4
2.47,91.0,0.0532,122.0,69.0,87.0,11.4
2.22,99.5,0.0599,172.0,67.0,71.0,14.1
3.85,0.2,0.0049,75.0,20.0,93.0,12.6
3.05,79.0,0.1421,361.0,213.0,94.0,8.5
1.1,61.3,0.0355,166.0,83.0,69.0,11.2
1.81,103.6,0.1222999999999999,266.0,135.0,94.0,7.4
2.43,53.4,0.1138,393.0,244.0,92.0,9.8
2.21,132.4,0.1033,183.0,85.0,92.0,11.5
0.84,41.2,0.0813,248.0,134.0,94.0,9.1
1.5,100.8,0.07,210.0,110.0,94.0,11.0
2.03,129.9,0.1745,316.0,161.0,94.0,8.2
2.2,137.4,0.0790999999999999,224.0,134.0,81.0,12.9
2.3,109.4,0.0662,183.0,86.0,88.0,11.5
0.73,44.0,0.0667,179.0,97.0,93.0,9.3
2.26,136.1,0.078,184.0,83.0,87.0,12.2
3.21,68.1,0.0391,163.0,78.0,79.0,13.1
3.08,48.1,0.0278999999999999,152.0,58.0,73.0,13.8
1.13,49.6,0.0278999999999999,164.0,39.0,45.0,15.5
3.97,42.7,0.1782,333.0,182.0,92.0,8.8
2.27,174.3,0.1057,287.0,117.0,84.0,8.9
4.34,76.5,0.0527,318.0,193.0,88.0,13.1
2.36,85.2,0.0533999999999999,140.0,47.0,87.0,11.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.9,75.8,0.0435,123.0,62.0,84.0,12.7
1.68,163.7,0.0975,248.0,161.0,77.0,13.8
2.26,189.5,0.1083,378.0,151.0,60.0,12.9
2.79,133.9,0.0790999999999999,215.0,94.0,86.0,12.0
2.43,316.0,0.1856999999999999,379.0,197.0,80.0,11.8
2.52,139.9,0.0848,134.0,69.0,88.0,11.6
3.44,74.3,0.0495,295.0,169.0,90.0,12.8
3.8,78.4,0.1361,350.0,173.0,87.0,9.6
1.02,54.0,0.0303,156.0,37.0,47.0,15.1
3.95,81.2,0.1421,350.0,173.0,86.0,9.6
3.29,117.1,0.1005,280.0,130.0,90.0,11.5
2.18,97.6,0.0582,149.0,56.0,90.0,11.5
2.66,90.1,0.0741,224.0,34.0,79.0,9.9
2.06,188.6,0.1445,268.0,122.0,90.0,10.6
3.72,82.2,0.0479,353.0,205.0,76.0,14.4
3.15,74.8,0.0444,223.0,127.0,91.0,12.5
2.3,118.1,0.1797,202.0,110.0,92.0,11.2
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.12,129.3,0.1455,245.0,172.0,92.0,8.2
2.55,61.1,0.1295,306.0,164.0,91.0,11.2
1.01,64.7,0.0366,207.0,107.0,46.0,16.6
3.54,55.1,0.0499,169.0,79.0,90.0,11.1
2.27,171.6,0.1037,269.0,122.0,74.0,11.3
2.1,168.3,0.0988,260.0,118.0,81.0,9.2
2.21,107.2,0.0631,186.0,90.0,71.0,14.4
1.89,116.0,0.0717,130.0,57.0,91.0,10.6
1.95,102.3,0.1201,194.0,100.0,93.0,7.8
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.68,132.4,0.0785999999999999,224.0,95.0,75.0,12.7
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.5,69.9,0.0453999999999999,295.0,169.0,91.0,12.6
3.1,57.3,0.0334,80.0,20.0,74.0,13.5
2.32,119.0,0.0746,166.0,72.0,90.0,11.5
2.12,137.4,0.1533,208.0,95.0,92.0,11.6
2.97,192.7,0.1988,323.0,222.0,88.0,9.3
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.12,109.8,0.0650999999999999,268.0,111.0,76.0,14.0
3.07,4.9,0.0044,152.0,38.0,73.0,14.6
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.97,139.5,0.1196,184.0,96.0,94.0,9.2
1.84,106.4,0.0636,140.0,58.0,93.0,10.4
3.86,72.6,0.0686,199.0,106.0,90.0,12.7
2.11,126.3,0.0735,224.0,134.0,77.0,13.6
1.2,30.3,0.1093,274.0,153.0,94.0,9.2
1.66,156.4,0.0891,269.0,110.0,45.0,13.8
1.03,135.7,0.0795999999999999,132.0,13.0,60.0,11.4
1.83,100.8,0.1051,228.0,117.0,94.0,7.7
3.1,53.2,0.1395,335.0,197.0,94.0,8.4
2.5,102.1,0.0611,146.0,67.0,92.0,11.3
2.5,116.0,0.0677,215.0,78.0,70.0,14.0
4.25,100.8,0.0584,293.0,147.0,81.0,13.6
1.59,145.3,0.0882,287.0,161.0,77.0,13.4
3.45,55.5,0.0555,177.0,80.0,91.0,11.3
0.62,61.7,0.0551,224.0,107.0,93.0,9.6
3.38,67.3,0.0589,189.0,80.0,93.0,12.4
3.44,70.1,0.044,227.0,113.0,91.0,12.6
2.21,109.2,0.0643,183.0,83.0,91.0,11.3
4.19,75.6,0.0466,318.0,193.0,86.0,12.8
2.23,112.6,0.0659,221.0,85.0,75.0,14.0
2.67,41.7,0.1272,255.0,150.0,94.0,10.3
2.46,103.0,0.0644,212.0,85.0,91.0,11.3
1.77,118.4,0.1368,278.0,138.0,94.0,8.1
1.77,99.8,0.1028,228.0,117.0,94.0,7.7
1.48,140.6,0.0842,261.0,139.0,81.0,12.7
2.26,123.5,0.0722,238.0,110.0,70.0,14.3
1.11,128.2,0.0726,155.0,63.0,48.0,13.4
2.28,170.1,0.1415,290.0,157.0,86.0,9.4
2.42,158.1,0.0994,232.0,103.0,82.0,12.9
3.65,80.5,0.051,334.0,239.0,84.0,13.6
1.02,50.2,0.0282,211.0,97.0,44.0,15.6
1.56,115.8,0.0709,152.0,86.0,94.0,11.2
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.54,113.7,0.07,153.0,79.0,80.0,12.7
2.85,155.9,0.1186,216.0,110.0,84.0,12.5
3.69,79.9,0.0462999999999999,353.0,205.0,77.0,14.5
2.9,164.5,0.1447,276.0,149.0,88.0,8.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.48,114.7,0.0691,215.0,78.0,66.0,14.5
1.69,168.6,0.1003,248.0,161.0,78.0,13.8
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.98,100.0,0.1326,194.0,100.0,93.0,7.7
1.8,142.9,0.0832,321.0,149.0,54.0,14.8
1.98,214.9,0.1249,349.0,194.0,68.0,12.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.19,106.6,0.0645,221.0,85.0,70.0,14.2
1.34,81.2,0.0458,237.0,45.0,48.0,15.9
1.21,66.9,0.0368999999999999,235.0,58.0,49.0,16.0
1.47,127.1,0.0770999999999999,224.0,106.0,92.0,11.5
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
3.52,28.6,0.1787,346.0,216.0,94.0,8.5
3.19,123.5,0.0955999999999999,199.0,121.0,89.0,10.5
3.44,56.2,0.0705,237.0,89.0,92.0,11.8
3.61,141.0,0.217,371.0,227.0,92.0,8.3
1.18,99.8,0.0515,244.0,91.0,58.0,14.2
3.41,57.0,0.0650999999999999,237.0,89.0,92.0,12.0
1.52,117.3,0.0859,179.0,79.0,95.0,8.4
2.06,217.9,0.1367,349.0,188.0,82.0,11.5
3.57,63.0,0.0437,117.0,61.0,89.0,11.0
1.84,116.9,0.1274,180.0,110.0,94.0,8.1
2.18,202.1,0.1424,349.0,188.0,88.0,10.6
1.03,35.0,0.0933,305.0,193.0,94.0,9.1
3.13,4.3,0.0037,119.0,35.0,82.0,13.8
2.54,153.8,0.1042,232.0,103.0,82.0,12.8
1.49,72.9,0.0421,152.0,19.0,73.0,10.6
3.82,1.3,0.005,75.0,20.0,92.0,12.8
1.77,127.8,0.0785,143.0,77.0,93.0,11.9
1.87,122.4,0.0756,237.0,103.0,93.0,11.9
0.8,43.2,0.0773,179.0,97.0,94.0,9.2
2.92,120.7,0.115,287.0,168.0,92.0,10.6
1.05,51.5,0.0293,211.0,97.0,43.0,15.6
3.13,149.1,0.1500999999999999,263.0,153.0,90.0,8.3
3.17,3.4,0.0032,66.0,29.0,71.0,14.4
4.47,91.2,0.0562999999999999,364.0,201.0,88.0,13.4
3.15,68.1,0.039,163.0,78.0,81.0,12.8
3.02,143.6,0.0915,245.0,128.0,88.0,11.8
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.0,110.2,0.0657,224.0,84.0,66.0,14.2
2.11,167.1,0.0953,301.0,152.0,71.0,11.0
2.12,109.6,0.0963,306.0,164.0,85.0,12.1
1.26,69.0,0.1159,254.0,177.0,95.0,10.4
3.13,58.3,0.0352,326.0,168.0,94.0,12.2
4.05,81.0,0.1416,318.0,152.0,85.0,9.6
3.69,78.0,0.0465,278.0,184.0,77.0,14.4
1.65,140.8,0.0983,277.0,125.0,92.0,12.0
2.22,187.6,0.1076,378.0,151.0,60.0,12.9
2.14,137.1,0.1631999999999999,245.0,106.0,93.0,11.6
2.18,133.7,0.0779,224.0,134.0,79.0,13.1
3.86,56.65,0.17335,337.0,168.0,92.0,8.9
2.69,136.5,0.0814,232.0,110.0,79.0,12.1
1.87,116.6,0.0708,130.0,57.0,92.0,10.4
1.97,213.2,0.1216,212.0,96.0,51.0,13.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.91,190.1,0.1092,212.0,96.0,49.0,13.7
2.29,135.4,0.1039,156.0,85.0,92.0,11.5
1.84,99.8,0.0608999999999999,139.0,57.0,93.0,10.4
2.14,118.6,0.0699,233.0,96.0,73.0,14.2
3.41,144.4,0.106,285.0,158.0,92.0,11.7
3.16,68.1,0.039,163.0,78.0,80.0,13.0
1.08,50.9,0.029,156.0,38.0,46.0,15.4
2.2,133.5,0.1889,280.0,152.0,93.0,8.0
2.22,172.4,0.1014,269.0,122.0,71.0,11.7
1.32,99.8,0.0515,244.0,91.0,58.0,14.2
2.42,125.4,0.0752999999999999,195.0,95.0,75.0,13.6
0.98,55.3,0.0317,166.0,36.0,50.0,14.1
